Model,Precision,Recall,mAP50,mAP50-95,Fitness
extra_large,0.10975247838224951,0.023719615058289116,0.2848101265822785,0.12857142857142856,0.03232290139068515
large,0.12438238076379819,0.02701396965109231,0.21518987341772153,0.19982436651381597,0.036750810762362904
medium,0.12212878811666564,0.0251634837072855,0.2468354430379747,0.12745098039215685,0.03486001414822351
small,0.08341247593020312,0.017196495425771056,0.08860759493670886,0.1308411214953271,0.023818093476214264
nano,0.03956945124938756,0.011870835374816268,0.006329113924050633,0.07692307692307693,0.014640696962273398
