model,Precision,Recall,mAP50,mAP50-95,Fitness,Time Taken
extra_large,0.4628550470549922,0.23501118634520898,0.4863505102114063,0.5537543663553387,0.25779557241618734,193.20858550071716
large,0.45675433684207983,0.23765788438173235,0.4718870478517686,0.5605305507185581,0.2595675296277671,150.3242495059967
medium,0.4294764825706638,0.21329658376742575,0.4227693869780429,0.5695810584461182,0.23491457364774954,156.18027234077454
small,0.3221698255450361,0.16202327275369602,0.30691869551247897,0.5170200061185977,0.17803792803283003,150.36340165138245
nano,0.24720514412724767,0.12424447944182253,0.245208782840462,0.4506322314804335,0.13654054591036505,202.20219469070435
