model,Precision,Recall,mAP50,mAP50-95,Fitness,preprocess,inference,loss,postprocess
extra_large,0.44255111312246337,0.18508413925891995,0.5737302020753686,0.44800437831037737,0.2108308366452743,13.711219880639053,456.94522741364267,0.007135112111161394,4.179855672324576
large,0.47430261873193685,0.1956969827987981,0.6302566903331512,0.4745333617427999,0.22355754639211198,14.129661932224181,270.817855509316,0.007768956626333841,2.6648626094911156
medium,0.44209628458486916,0.17366527660691972,0.5647187329328236,0.46501425465453466,0.20050837740471467,13.862784315900104,166.49528247554127,0.008094601514862805,4.208262373761433
small,0.4964429246388305,0.2029119840943542,0.5603495357728018,0.5122105147475611,0.23226507814880185,13.98887285372106,70.15609741210938,0.007030440539848514,3.1574237637403533
nano,0.4919363856098392,0.20561113896180078,0.5395515280773865,0.5260711028219749,0.23424366362660465,12.432034422711627,34.97272584496475,0.007344455253787157,4.904898201547018
