model,Precision,Recall,mAP50,mAP50-95,Fitness,preprocess,inference,loss,postprocess
extra_large,0.021788238353098306,0.004498151495183888,0.12611854654855806,0.045304403627705964,0.00622716018097533,2.0336566827236076,178.78337395496857,0.0025908152262369795,1.175236090635642
large,0.02704981507719155,0.005921856103399474,0.12741184298070526,0.05578894295391481,0.008034652000778682,2.0488995772141676,117.84546680939503,0.002781550089518229,0.9115793766119541
medium,0.01886312952274361,0.0038948981862200575,0.1021290751829674,0.04189494789926885,0.005391721319872414,2.042892651680188,74.29180634327425,0.0027045225485777245,0.8845769442044772
small,0.023531292039906268,0.005136123674496497,0.10079840319361277,0.05300629239091504,0.0069756405110374745,2.082616854936649,33.50231097294734,0.0025883699074769635,1.1107567029121594
nano,0.023926338592577614,0.005326226552137646,0.11976047904191617,0.05172066962251219,0.007186237756181643,2.014415692060422,17.847517209175304,0.002969839634039463,1.7956525851518679
