Model,Precision,Recall,mAP50,mAP50-95,Fitness,preprocess,inference,loss,postprocess
extra_large,0.10298082586465473,0.021626499928605648,0.25449101796407186,0.14637612537344968,0.029761932522210557,6.840974856645634,177.44531998267541,0.0027326437143179085,3.3169037256485376
large,0.1284562607835577,0.028033538128646517,0.22288755821689954,0.19781383097557081,0.03807581039413764,6.48960700401893,116.67368962214543,0.002781550089518229,1.2640525133181841
medium,0.08691455538993206,0.018605933245095435,0.3333333333333333,0.09675550405561993,0.025436795459579102,6.683184550358699,73.82763349092923,0.0030383085593199115,2.3607657505915713
small,0.10646422055633387,0.02320091753691179,0.2917498336660013,0.1371944684084032,0.031527247838854,6.661592385707757,35.58913255349184,2.8406351040571165,7.931513664049979
nano,0.11996889630239196,0.026557667306510612,0.35296074517631404,0.12521716552268256,0.03589879020609875,6.614385507045648,20.57647093748435,0.008057325314252805,18.029836507943962
