Model,Precision,Recall,mAP50,mAP50-95,Fitness,Time Taken
extra_large,0.19640089506141378,0.06771182946351068,0.198798470780994,0.43132784739092184,0.08058073602330099,29.277073621749878
large,0.17824763915631475,0.06471069667953573,0.1800429107816427,0.43196596679507593,0.07606439092721363,27.17413091659546
medium,0.1520023673533576,0.05112143113660646,0.1586564718732933,0.3799814919487859,0.06120952475828158,26.055638074874878
small,0.06476694396752501,0.02233189762283236,0.1144183506280721,0.08537082314588428,0.026575402257301622,24.20993709564209
nano,0.051417304470914436,0.013083403883686975,0.012288367012561441,0.10112359550561797,0.016916793942409723,22.89817190170288
