Model,Precision,Recall,mAP50,mAP50-95,Fitness,Time Taken
extra_large,0.19849218815429798,0.06718836346649275,0.19970816218410758,0.42486372042124304,0.08031874593527327,28.039739847183228
large,0.17760378642817165,0.06437021632863948,0.1764066264314949,0.4211216536363663,0.0756935733385927,25.344428300857544
medium,0.15253823990691168,0.05124258471827704,0.1600218459858001,0.38761581497946557,0.06137215023714051,25.171653032302856
small,0.06617940359543929,0.022808875563930967,0.11769524849808848,0.08517786561264822,0.0271459283670818,22.73435926437378
nano,0.04725067644159815,0.013401422347459243,0.01119606772255598,0.09276018099547512,0.016786347756873134,21.542133808135986
