Model,Precision,Recall,mAP50,mAP50-95,Fitness,preprocess,inference,loss,postprocess
extra_large,0.11558240474704193,0.024631690493893042,0.4430379746835443,0.12389380530973451,0.03372676191920793,1.523733139038086,183.69972705841064,0.0054836273193359375,50.42219161987305
large,0.12685310631474234,0.02877102971166131,0.36075949367088606,0.12559526601968937,0.038579237371969416,1.2091398239135742,116.95873737335205,0.0054836273193359375,5.901932716369629
medium,0.0766288747698607,0.017347288156548075,0.310126582278481,0.08957952468007313,0.02327544681787934,1.1792182922363281,76.48634910583496,0.005602836608886719,4.84013557434082
small,0.08602440477017534,0.017228622439576242,0.21518987341772153,0.16477399720625005,0.02410820067263615,1.0280609130859375,35.38823127746582,0.006079673767089844,5.9108734130859375
nano,0.1264886939684522,0.030174763268295123,0.3924050632911392,0.12550607287449392,0.03980615633831083,1.5119314193725586,37.23883628845215,0.013828277587890625,8.584380149841309
