model,image,resolution,detections,average confidence
extra_large,/home/p01e/64mp_20240825/home/lachlan/django-camera/media/ext/141/2024-08-25/full/cam1/2024-08-25-15-46-20.jpg,64,61,0.4783623516559601
large,/home/p01e/64mp_20240825/home/lachlan/django-camera/media/ext/141/2024-08-25/full/cam1/2024-08-25-15-46-20.jpg,64,66,0.47032564878463745
medium,/home/p01e/64mp_20240825/home/lachlan/django-camera/media/ext/141/2024-08-25/full/cam1/2024-08-25-15-46-20.jpg,64,50,0.42876356840133667
small,/home/p01e/64mp_20240825/home/lachlan/django-camera/media/ext/141/2024-08-25/full/cam1/2024-08-25-15-46-20.jpg,64,37,0.40394484996795654
nano,/home/p01e/64mp_20240825/home/lachlan/django-camera/media/ext/141/2024-08-25/full/cam1/2024-08-25-15-46-20.jpg,64,31,0.380805104970932
extra_large,/home/p01e/64mp_20240825/home/lachlan/django-camera/media/ext/141/2024-08-25/full/cam1/2024-08-25-15-43-20.jpg,64,64,0.4245779812335968
large,/home/p01e/64mp_20240825/home/lachlan/django-camera/media/ext/141/2024-08-25/full/cam1/2024-08-25-15-43-20.jpg,64,59,0.4289943277835846
medium,/home/p01e/64mp_20240825/home/lachlan/django-camera/media/ext/141/2024-08-25/full/cam1/2024-08-25-15-43-20.jpg,64,37,0.4108937084674835
small,/home/p01e/64mp_20240825/home/lachlan/django-camera/media/ext/141/2024-08-25/full/cam1/2024-08-25-15-43-20.jpg,64,21,0.3973742127418518
nano,/home/p01e/64mp_20240825/home/lachlan/django-camera/media/ext/141/2024-08-25/full/cam1/2024-08-25-15-43-20.jpg,64,15,0.38604992628097534
extra_large,/home/p01e/64mp_20240825/home/lachlan/django-camera/media/ext/141/2024-08-25/full/cam1/2024-08-25-15-45-50.jpg,64,69,0.41504204273223877
large,/home/p01e/64mp_20240825/home/lachlan/django-camera/media/ext/141/2024-08-25/full/cam1/2024-08-25-15-45-50.jpg,64,68,0.44604629278182983
medium,/home/p01e/64mp_20240825/home/lachlan/django-camera/media/ext/141/2024-08-25/full/cam1/2024-08-25-15-45-50.jpg,64,53,0.3981558680534363
small,/home/p01e/64mp_20240825/home/lachlan/django-camera/media/ext/141/2024-08-25/full/cam1/2024-08-25-15-45-50.jpg,64,37,0.40596964955329895
nano,/home/p01e/64mp_20240825/home/lachlan/django-camera/media/ext/141/2024-08-25/full/cam1/2024-08-25-15-45-50.jpg,64,25,0.41440287232398987
extra_large,/home/p01e/64mp_20240825/home/lachlan/django-camera/media/ext/141/2024-08-25/full/cam1/2024-08-25-15-47-50.jpg,64,58,0.47841545939445496
large,/home/p01e/64mp_20240825/home/lachlan/django-camera/media/ext/141/2024-08-25/full/cam1/2024-08-25-15-47-50.jpg,64,61,0.4603939950466156
medium,/home/p01e/64mp_20240825/home/lachlan/django-camera/media/ext/141/2024-08-25/full/cam1/2024-08-25-15-47-50.jpg,64,45,0.40671980381011963
