model,image,resolution,detections,average confidence
extra_large,4MP/2024-08-25-16-27-00.jpg,4,10,0.3761809766292572
large,4MP/2024-08-25-16-27-00.jpg,4,10,0.3885571360588074
medium,4MP/2024-08-25-16-27-00.jpg,4,7,0.3479519188404083
small,4MP/2024-08-25-16-27-00.jpg,4,9,0.3469052314758301
nano,4MP/2024-08-25-16-27-00.jpg,4,4,0.2954850196838379
extra_large,4MP/2024-08-25-16-39-00.jpg,4,11,0.3485749065876007
large,4MP/2024-08-25-16-39-00.jpg,4,11,0.32591530680656433
medium,4MP/2024-08-25-16-39-00.jpg,4,8,0.35567837953567505
small,4MP/2024-08-25-16-39-00.jpg,4,7,0.336195170879364
nano,4MP/2024-08-25-16-39-00.jpg,4,4,0.3736691176891327
extra_large,4MP/2024-08-25-16-30-30.jpg,4,9,0.40319687128067017
large,4MP/2024-08-25-16-30-30.jpg,4,13,0.3998000919818878
medium,4MP/2024-08-25-16-30-30.jpg,4,6,0.4382740259170532
small,4MP/2024-08-25-16-30-30.jpg,4,5,0.35493865609169006
nano,4MP/2024-08-25-16-30-30.jpg,4,3,0.3482411205768585
extra_large,4MP/2024-08-25-16-35-00.jpg,4,14,0.3656117022037506
large,4MP/2024-08-25-16-35-00.jpg,4,10,0.35734596848487854
medium,4MP/2024-08-25-16-35-00.jpg,4,6,0.38873693346977234
small,4MP/2024-08-25-16-35-00.jpg,4,5,0.31419843435287476
nano,4MP/2024-08-25-16-35-00.jpg,4,2,0.2810165286064148
extra_large,4MP/2024-08-25-16-22-30.jpg,4,12,0.39461079239845276
large,4MP/2024-08-25-16-22-30.jpg,4,10,0.35476747155189514
medium,4MP/2024-08-25-16-22-30.jpg,4,6,0.4233008623123169
small,4MP/2024-08-25-16-22-30.jpg,4,7,0.3912372887134552
nano,4MP/2024-08-25-16-22-30.jpg,4,7,0.2988593876361847
extra_large,4MP/2024-08-25-16-27-30.jpg,4,10,0.38713136315345764
large,4MP/2024-08-25-16-27-30.jpg,4,8,0.36310410499572754
medium,4MP/2024-08-25-16-27-30.jpg,4,5,0.36549004912376404
small,4MP/2024-08-25-16-27-30.jpg,4,6,0.3570028245449066
nano,4MP/2024-08-25-16-27-30.jpg,4,2,0.2828906774520874
extra_large,4MP/2024-08-25-16-30-00.jpg,4,12,0.41045522689819336
large,4MP/2024-08-25-16-30-00.jpg,4,8,0.40147119760513306
medium,4MP/2024-08-25-16-30-00.jpg,4,5,0.39803439378738403
small,4MP/2024-08-25-16-30-00.jpg,4,7,0.36699098348617554
nano,4MP/2024-08-25-16-30-00.jpg,4,5,0.3744082450866699
extra_large,4MP/2024-08-25-16-39-30.jpg,4,7,0.46060091257095337
large,4MP/2024-08-25-16-39-30.jpg,4,7,0.3793305456638336
medium,4MP/2024-08-25-16-39-30.jpg,4,6,0.37127697467803955
small,4MP/2024-08-25-16-39-30.jpg,4,8,0.3323168158531189
nano,4MP/2024-08-25-16-39-30.jpg,4,6,0.30097758769989014
extra_large,4MP/2024-08-25-16-35-30.jpg,4,17,0.3382824957370758
large,4MP/2024-08-25-16-35-30.jpg,4,11,0.3554692566394806
medium,4MP/2024-08-25-16-35-30.jpg,4,4,0.32719504833221436
small,4MP/2024-08-25-16-35-30.jpg,4,2,0.3744044303894043
nano,4MP/2024-08-25-16-35-30.jpg,4,3,0.3830486238002777
extra_large,4MP/2024-08-25-16-22-00.jpg,4,14,0.3486863672733307
large,4MP/2024-08-25-16-22-00.jpg,4,9,0.3598996102809906
medium,4MP/2024-08-25-16-22-00.jpg,4,7,0.33931753039360046
small,4MP/2024-08-25-16-22-00.jpg,4,9,0.3755970597267151
nano,4MP/2024-08-25-16-22-00.jpg,4,7,0.3227744400501251
extra_large,4MP/2024-08-25-16-29-30.jpg,4,9,0.4449309706687927
large,4MP/2024-08-25-16-29-30.jpg,4,13,0.37584713101387024
medium,4MP/2024-08-25-16-29-30.jpg,4,8,0.3902374505996704
small,4MP/2024-08-25-16-29-30.jpg,4,5,0.41529837250709534
nano,4MP/2024-08-25-16-29-30.jpg,4,4,0.4115203022956848
extra_large,4MP/2024-08-25-16-37-30.jpg,4,18,0.35582613945007324
large,4MP/2024-08-25-16-37-30.jpg,4,14,0.3672408163547516
medium,4MP/2024-08-25-16-37-30.jpg,4,7,0.3462642729282379
small,4MP/2024-08-25-16-37-30.jpg,4,1,0.3568110167980194
nano,4MP/2024-08-25-16-37-30.jpg,4,3,0.35938605666160583
extra_large,4MP/2024-08-25-16-32-00.jpg,4,13,0.3862557113170624
large,4MP/2024-08-25-16-32-00.jpg,4,9,0.37692275643348694
medium,4MP/2024-08-25-16-32-00.jpg,4,7,0.395150363445282
small,4MP/2024-08-25-16-32-00.jpg,4,7,0.3109779357910156
nano,4MP/2024-08-25-16-32-00.jpg,4,3,0.3201514780521393
extra_large,4MP/2024-08-25-16-25-30.jpg,4,13,0.3471634089946747
large,4MP/2024-08-25-16-25-30.jpg,4,11,0.301370769739151
medium,4MP/2024-08-25-16-25-30.jpg,4,2,0.2618439197540283
small,4MP/2024-08-25-16-25-30.jpg,4,6,0.350475549697876
